sub_basin,depression_area_m2,depression_volume_m3,total_catchment_m2
1,12040700,2327322.0265,40307300
2,9887600,2438073.7248,32740500
3,12732500,1746929.2759,81128700
4,16564800,3702451.9732,63248800
5,7893900,1949910.3168,35547100
6,9798200,2484647.0871,51117000
7,5815800,1488377.5976,33398100
8,7828000,2160277.0704,39355000
9,1474300,296997.0353,8210200
